age,monthly_usage_hours,purchase_amount,customer_service_calls,region,churn
41,36.2,239.14,3,West,1
68,47.9,244.74,3,North,0
26,40.2,69.17,2,South,1
26,38.2,256.26,4,East,1
42,30.3,135.58,2,South,1
45,19.4,154.86,2,North,0
55,13.3,201.46,6,North,1
39,23.0,424.38,6,West,1
67,30.6,113.45,2,East,0
43,33.0,197.94,1,South,0
24,53.1,175.91,0,South,0
24,29.0,315.52,4,North,0
70,44.0,173.33,1,West,0
25,11.2,226.09,5,North,1
69,37.4,113.64,0,West,0
33,35.9,341.81,1,North,0
23,66.0,86.23,3,South,0
34,27.3,254.51,3,South,0
51,26.6,226.81,3,West,1
41,48.1,243.72,3,North,0
60,14.0,86.98,2,South,0
50,36.8,171.45,3,South,0
39,13.5,307.95,2,South,0
52,82.6,455.82,2,North,0
70,24.4,190.33,3,West,1
40,12.9,293.69,4,South,1
26,22.8,215.75,3,South,1
40,37.0,195.49,4,South,1
63,43.2,161.09,6,West,1
29,64.0,201.98,4,South,0
69,21.1,280.79,4,South,0
49,49.4,292.26,2,South,0
50,9.0,97.57,4,South,1
35,15.7,153.39,2,North,0
67,11.4,110.41,1,East,1
19,18.7,207.21,4,North,1
34,48.1,168.23,2,North,0
40,21.4,239.62,2,North,0
43,24.1,247.98,2,South,0
43,37.6,48.17,6,West,1
25,42.1,201.18,1,East,0
30,24.6,354.39,2,West,0
23,15.6,153.43,2,South,1
48,75.1,151.02,1,West,0
36,24.7,324.37,2,North,0
48,26.3,298.98,9,East,1
49,28.4,116.9,1,West,1
55,44.8,284.55,0,East,0
47,10.7,131.56,3,West,1
52,91.4,150.18,2,South,0
49,25.8,116.84,6,North,1
53,45.6,97.12,2,West,1
51,13.0,213.44,3,North,1
35,35.3,88.61,1,West,0
31,83.6,217.86,0,East,0
60,77.1,214.39,4,West,0
36,44.9,185.91,2,South,0
47,17.8,157.31,3,West,0
28,62.1,141.13,1,North,0
41,9.0,108.53,3,South,1
46,17.4,395.36,3,North,0
51,30.4,181.63,2,West,0
46,9.6,178.47,2,East,0
37,22.8,119.99,3,West,1
69,50.0,374.92,3,West,0
45,20.0,145.98,1,South,1
61,51.3,228.44,5,North,1
57,105.1,250.74,3,West,0
48,40.2,213.52,1,South,0
65,50.8,87.35,2,North,0
24,63.3,278.58,4,West,0
67,24.2,145.18,1,West,1
63,50.1,297.51,1,South,0
45,23.8,140.16,3,West,1
57,38.6,194.68,1,North,0
46,54.5,258.36,2,North,0
32,18.4,362.78,4,South,0
61,4.7,273.5,0,East,0
31,17.2,261.5,4,North,1
34,59.1,284.83,6,North,0
46,15.8,129.02,3,East,1
63,57.3,303.73,2,West,0
38,17.3,174.39,4,East,1
44,27.9,177.39,3,West,1
20,31.7,210.1,7,West,1
24,15.7,165.96,2,East,1
21,28.0,114.44,3,East,1
21,10.1,201.99,4,West,1
64,25.6,177.84,3,South,0
63,30.2,174.53,3,North,1
62,4.9,191.48,0,West,1
21,17.1,51.61,2,South,0
22,37.9,175.21,2,West,1
33,14.5,384.99,5,South,1
48,41.6,370.07,3,West,0
36,44.0,205.61,0,North,0
44,37.8,202.07,5,East,1
27,49.8,42.74,2,South,1
57,9.6,149.7,4,South,1
34,55.9,283.43,4,South,0
21,15.9,163.85,1,West,1
58,34.0,330.78,1,South,0
66,81.7,320.99,1,West,0
18,25.3,148.12,2,South,1
