annual_spending,purchase_frequency,age,region
565.73,1,47,East
3604.75,11,38,West
729.45,6,57,East
614.35,1,58,West
523.88,7,44,South
689.18,10,66,East
887.25,21,27,West
3379.98,16,35,South
666.14,6,59,South
347.15,10,54,West
4832.05,21,43,East
1983.85,21,24,South
584.65,5,54,North
1174.54,18,24,North
1594.67,18,28,North
1569.78,19,18,West
1274.58,21,32,North
463.88,9,50,West
2868.19,20,35,East
3872.36,23,31,West
1527.3,29,30,East
1917.88,25,30,South
650.79,1,49,South
1772.97,22,40,North
1946.13,14,49,North
380.3,2,57,North
868.45,21,34,West
577.84,2,43,East
702.94,2,62,East
673.96,4,63,West
795.31,3,49,North
2713.46,16,45,South
929.2,3,60,West
592.55,2,52,South
1060.81,19,18,West
1225.02,18,27,West
854.03,5,55,East
744.68,1,52,South
5671.85,18,29,East
728.11,4,50,West
4158.42,21,32,South
1435.16,21,26,South
406.96,1,40,South
728.01,7,54,East
1245.49,15,44,East
4743.96,10,22,West
2388.18,16,30,North
1625.82,27,34,South
969.3,22,26,North
1181.95,21,28,East
601.43,2,60,South
1771.83,28,18,East
3841.68,16,40,West
4119.88,17,43,South
1986.23,22,27,South
1320.55,18,28,East
2046.93,24,37,South
5655.93,16,38,South
715.4,1,43,West
2008.09,21,42,West
479.19,1,44,East
949.55,25,19,West
529.35,1,33,South
4459.8,17,33,West
689.23,7,52,North
1486.0,14,32,North
1475.84,27,37,East
1230.78,21,30,West
5237.74,21,40,North
1655.04,27,26,West
3555.46,13,21,West
5225.61,14,33,South
711.3,6,47,West
4928.95,25,34,North
396.62,5,63,West
1946.51,15,34,East
1471.3,18,33,West
757.92,1,53,West
1567.55,16,28,North
3182.99,12,40,North
1908.5,23,28,North
2212.36,14,32,West
1497.5,28,20,South
1274.1,27,21,East
4852.32,16,46,South
5567.61,23,33,South
5105.7,13,46,West
1230.46,27,26,West
1705.98,32,26,West
516.27,1,47,South
1172.36,20,21,East
3511.64,10,28,North
1471.01,21,18,North
418.36,6,50,South
2677.71,15,39,North
585.67,10,65,West
3367.44,16,42,North
551.9,1,58,East
3940.6,14,37,North
3554.1,19,19,East
5453.65,18,41,South
2783.63,14,41,West
4666.11,14,33,West
1448.81,23,35,South
1602.11,23,29,West
3979.68,22,29,North
1807.02,24,25,South
740.71,7,48,West
3872.26,17,42,West
4239.39,22,30,North
3705.0,18,30,East
2480.26,25,37,West
601.21,4,51,South
745.25,1,55,East
3722.28,21,37,West
3947.1,18,38,South
2626.63,19,36,East
636.74,4,43,South
6539.48,18,33,East
4485.33,15,40,North
1735.29,19,19,East
585.81,1,45,East
1828.14,21,26,East
1370.57,24,24,East
2049.76,17,38,North
2666.26,20,36,South
531.85,5,36,East
3128.31,18,30,West
496.27,9,52,North
544.49,1,60,North
639.46,8,61,North
612.47,1,52,North
609.95,7,66,North
1301.02,20,39,South
470.39,16,47,South
843.16,6,63,West
1560.36,22,24,East
4030.63,16,44,West
4093.95,14,39,South
665.11,1,37,South
1612.14,18,35,South
673.17,8,56,North
1203.83,22,24,South
1529.75,17,30,West
827.85,6,58,East
4643.83,16,34,East
1228.51,20,27,South
468.57,1,34,South
1842.64,24,19,West
515.05,1,58,North
5234.32,26,35,East
3787.83,13,32,South
699.38,1,49,East
3791.68,22,34,East
1317.83,16,34,South
600.95,4,47,North
4769.4,21,38,East
1819.44,22,19,West
4468.64,16,34,East
4930.27,20,36,West
3383.92,18,44,South
3615.95,19,23,South
1965.35,20,18,North
3874.51,24,36,West
566.01,5,65,North
540.67,8,56,North
1172.93,24,33,North
675.68,3,45,South
3399.87,15,47,South
2007.33,26,21,North
1965.73,19,36,East
1651.87,28,28,East
3632.59,28,40,South
487.07,1,47,North
1889.06,20,23,West
1275.94,23,24,East
529.54,1,59,West
1952.87,20,21,South
4817.75,16,37,West
630.45,4,53,North
