square_footage,location,price
2486,Suburb,1144000
1986,Suburb,1054000
1813,Rural,756000
1330,Suburb,660000
979,Downtown,811000
1633,Rural,577000
1870,Suburb,980000
2872,Suburb,1352000
1972,Downtown,1255000
2441,Suburb,1308000
1625,Suburb,914000
1248,Rural,581000
1369,Suburb,839000
1501,Rural,582000
3071,Suburb,1605000
1448,Downtown,1029000
2361,Suburb,1245000
1403,Downtown,962000
2412,Rural,842000
2112,Suburb,1046000
1814,Suburb,1019000
1878,Suburb,917000
1540,Rural,614000
2145,Rural,744000
1650,Suburb,960000
1226,Downtown,933000
1197,Suburb,804000
1995,Downtown,1331000
2769,Downtown,1596000
1988,Suburb,1031000
1835,Suburb,899000
2057,Rural,697000
2618,Downtown,1702000
2021,Suburb,1087000
1674,Suburb,858000
2508,Downtown,1493000
2136,Downtown,1363000
2745,Suburb,1287000
2001,Downtown,1250000
1227,Suburb,726000
1148,Suburb,743000
2808,Rural,997000
2848,Suburb,1267000
1801,Downtown,1205000
1689,Rural,618000
2704,Rural,953000
1291,Suburb,832000
1408,Downtown,858000
2254,Suburb,1114000
1683,Downtown,1161000
1897,Downtown,1142000
1810,Downtown,1280000
2086,Suburb,1099000
2674,Suburb,1381000
1950,Suburb,984000
2254,Suburb,1198000
772,Suburb,576000
1873,Suburb,999000
1436,Downtown,1011000
1230,Downtown,906000
1417,Suburb,738000
1716,Suburb,909000
2404,Suburb,1205000
1170,Suburb,706000
1917,Suburb,1064000
1634,Suburb,819000
1720,Suburb,912000
2452,Downtown,1614000
2196,Downtown,1347000
2636,Suburb,1264000
1815,Downtown,1206000
1517,Suburb,883000
1777,Rural,642000
2033,Downtown,1387000
1997,Downtown,1340000
1304,Downtown,979000
1950,Downtown,1297000
2026,Suburb,1191000
3285,Suburb,1580000
2932,Suburb,1321000
1431,Suburb,892000
1742,Suburb,902000
1095,Rural,436000
1575,Downtown,1148000
2074,Downtown,1232000
2563,Downtown,1508000
1499,Suburb,728000
1540,Suburb,795000
719,Downtown,650000
1811,Suburb,990000
1316,Downtown,951000
1609,Suburb,787000
1418,Suburb,651000
1848,Suburb,978000
933,Downtown,707000
1093,Suburb,678000
3071,Suburb,1543000
1192,Downtown,878000
1297,Downtown,970000
2910,Rural,1006000
3498,Rural,1206000
1256,Suburb,678000
1697,Downtown,1122000
2088,Rural,749000
2851,Suburb,1455000
1357,Suburb,740000
1765,Suburb,970000
2328,Downtown,1445000
2139,Downtown,1355000
1693,Rural,665000
1826,Suburb,846000
1144,Downtown,767000
1769,Downtown,1081000
1753,Suburb,794000
2028,Downtown,1264000
1595,Rural,629000
2159,Suburb,1091000
2457,Suburb,1248000
1985,Suburb,1099000
2093,Suburb,1160000
1929,Suburb,1005000
1900,Suburb,1078000
1503,Downtown,1037000
2074,Suburb,1022000
1846,Downtown,1174000
3051,Suburb,1403000
2765,Downtown,1635000
2112,Downtown,1327000
1480,Downtown,1068000
1288,Suburb,837000
2555,Downtown,1496000
2045,Rural,748000
2164,Suburb,1048000
940,Downtown,767000
2410,Suburb,1208000
2150,Downtown,1258000
1289,Rural,545000
1641,Suburb,849000
2045,Suburb,1027000
1929,Downtown,1189000
1739,Suburb,889000
1843,Suburb,998000
1761,Rural,625000
1984,Suburb,1053000
2709,Suburb,1367000
650,Downtown,667000
1770,Downtown,1150000
1997,Suburb,950000
2063,Suburb,1131000
1695,Downtown,1112000
