month,sales
1,773
2,790
3,903
4,895
5,1056
6,947
7,920
8,856
9,954
10,824
11,728
12,785
13,780
14,888
15,798
16,924
17,966
18,919
19,1041
20,937
21,920
22,932
23,765
24,748
25,793
26,883
27,881
28,946
29,1073
30,1063
31,940
32,932
33,993
34,882
35,785
36,798
37,826
38,910
39,884
40,975
41,1076
42,1080
43,1096
44,970
45,980
46,951
47,880
48,850
49,860
50,877
51,980
52,1108
53,1097
54,1083
55,1086
56,1073
57,986
58,962
59,920
60,922
61,967
62,998
63,980
64,1049
65,1137
66,1141
67,1096
68,1083
69,1019
70,949
71,920
72,973
73,950
74,1103
75,1068
76,1115
77,1179
78,1211
79,1205
80,1234
81,1041
82,1056
83,982
84,888
85,1014
86,1087
87,1060
88,1166
89,1140
90,1181
91,1271
92,1158
93,1068
94,1066
95,988
96,976
97,1051
98,1016
99,1096
100,1212
101,1299
102,1332
103,1232
104,1260
105,1121
106,1176
107,999
108,1095
109,1027
110,1198
111,1202
112,1198
113,1271
114,1350
115,1348
116,1253
117,1196
118,1167
119,1094
120,1016
